Type,Variable,
Vivienda,pared,
Gasto,cuota,
Gasto,mat_serv,
Gasto,terceros,
Gasto,pago_tar,
Gasto,otra_ero,
Vivienda,techos,
Vivienda,pisos,
Vivienda,cua_coc,
Vivienda,dormi,
Ingreso,prestamo,
Ingreso,otras_pr,
Gasto,enomonviv,
Gasto,enomonhog,
Gasto,erotot,
Vivienda,cuart,
Vivienda,dis_agua,
Vivienda,excus,
Gasto,cuidado,
Gasto,accesorio,
Gasto,transfe,
Ingreso,pertot,
Gasto,retiro,
Vivienda,elect,
Vivienda,eli_ba,
Vivienda,tenen,
Vivienda,lavad,
Gasto,refa,
Gasto,educa,
Gasto,paquete,
Gasto,personal,
Vivienda,fregad,
Vivienda,regad,
Vivienda,tin_azo,
Vivienda,ciste,
Gasto,aten_pri,
Gasto,medica,
Gasto,adqui_y,
Gasto,mante,
Vivienda,calen,
Vivienda,med_luz,
Vivienda,bom_ag,
Vivienda,tan_gas,
Vivienda,aire_aco,
Gasto,ali_dent,
Gasto,otro_ali,
Gasto,fuera_hog,
Gasto,vestido_c,
Vivienda,calef,
Vivienda,residentes,
Alimentacion,hogares2,
Vivienda,huespedes4,
Perfil,domestico7,
Ingreso,esp_inst,
Ingreso,otros,
Gasto,gasmon,
Alimentacion,alim1,
Alimentacion,alim2,
Alimentacion,alim3,
Alimentacion,alim4,
Alimentacion,alim5,
Ingreso,donativo,
Ingreso,remesa,
Ingreso,esp_hog,
Gasto,esti,
Alimentacion,alim6,
Perfil,serv_1,
Perfil,serv_2,
Perfil,serv_3,
Perfil,vehi1_n,
Perfil,vehi2_n,
Perfil,vehi3_n,
Perfil,vehi4_n,
Perfil,vehi5_n,
Perfil,vehi6_n,
Perfil,vehi7_n,
Perfil,vehi8_n,
Perfil,vehi9_n,
Electrodomestico,eqh1_n,
Electrodomestico,eqh2_n,
Electrodomestico,eqh3_n,
Electrodomestico,eqh4_n,
Electrodomestico,eqh5_n,
Electrodomestico,eqh6_n,
Electrodomestico,eqh7_n,
Electrodomestico,eqh8_n,
Electrodomestico,eqh9_n,
Electrodomestico,eqh10_n,
Electrodomestico,eqh11_n,
Electrodomestico,eqh12_n,
Electrodomestico,eqh13_n,
Electrodomestico,eqh14_n,
Electrodomestico,eqh15_n,
Electrodomestico,eqh16_n,
Electrodomestico,eqh17_n,
Electrodomestico,eqh18_n,
Electrodomestico,eqh19_n,
Perfil,serv_4,
Electrodomestico,eqh4_a,
Perfil,ed_formal,
Perfil,tam_hog,
Vivienda,tot_resi,
Perfil,n_ocup,
Perfil,pering,
Ingreso,perocu,
Ingreso,ingcor,
Ingreso,horext,
Gasto,comis,
Ingreso,agui,
Ingreso,rem_esp,
Ingreso,jubila,
Ingreso,beca,
Perfil,conapo,
Perfil,edo_salud,
Perfil,lengua6,
Perfil,n_instr161,
Perfil,n_instr162,
Perfil,ate_sal7,
Vivienda,constr,
Vivienda,antigua,
Vivienda,sup_cons,
Vivienda,agua13,
Vivienda,agua16,
Electrodomestico,focos,
Vivienda,ten27,
Perfil,serv1_1,
Perfil,serv1_2,
Perfil,serv1_3,
Perfil,serv1_4,
Perfil,vehi2_1,
